name_score,number_features,train,valid
accuracy,28,0.9995240983873479,0.9995164042859589
precision,28,0.9346713463224413,0.9307162914440561
recall,28,0.7798171589310829,0.7790652385589094
f1,28,0.850199183965902,0.8476790249242316
roc_auc,28,0.9824583882121448,0.979284842099186
accuracy,29,0.9995208011103497,0.9995076118211046
precision,29,0.9350820505215717,0.9335158478523962
recall,29,0.7772714486638537,0.7714378448555663
f1,29,0.8488223221828738,0.8437027339070488
roc_auc,29,0.9821922955542121,0.9784121510520423
accuracy,30,0.9995175038514711,0.999498819162973
precision,30,0.9355685009286285,0.9301507988010261
recall,30,0.7747337753666867,0.7689061992859461
f1,30,0.8474472242787192,0.8410145691470244
roc_auc,30,0.98268213855002,0.9793700667559619
